epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1271.23,0.88418,0.53685,0.86229,0.93528,0.93912,0.96949,0.73556,1.00372,0.58765,0.87784,0.000624028,0.000624028,0.000624028
97,1284.18,0.9101,0.55637,0.86658,0.90015,0.96607,0.97575,0.72738,0.98336,0.57974,0.86845,0.000621029,0.000621029,0.000621029
98,1298.19,0.86451,0.53214,0.85322,0.92168,0.94025,0.96134,0.72609,1.00921,0.58566,0.87834,0.000618029,0.000618029,0.000618029
99,1309.23,0.90568,0.55184,0.85774,0.95057,0.91346,0.96195,0.76053,0.91498,0.5724,0.85355,0.000615029,0.000615029,0.000615029
100,1322.47,0.91238,0.54824,0.86598,0.91934,0.93443,0.96118,0.71466,1.00379,0.59403,0.87759,0.00061203,0.00061203,0.00061203
101,1335.96,0.88235,0.53123,0.86241,0.90461,0.95173,0.96611,0.7131,1.00597,0.58357,0.88288,0.00060903,0.00060903,0.00060903
102,1347.65,0.86969,0.52126,0.85618,0.95405,0.93639,0.97039,0.68716,1.07993,0.59437,0.90289,0.00060603,0.00060603,0.00060603
103,1360.06,0.88275,0.53182,0.86572,0.91859,0.96498,0.9763,0.73542,0.96539,0.58246,0.87472,0.000603031,0.000603031,0.000603031
104,1373.66,0.89343,0.54796,0.85862,0.92533,0.95346,0.9769,0.75604,0.98418,0.55572,0.8763,0.000600031,0.000600031,0.000600031
105,1386.81,0.87189,0.52828,0.85044,0.93787,0.95448,0.9651,0.72013,1.00099,0.58456,0.87774,0.000597031,0.000597031,0.000597031
106,1400.74,0.87284,0.52243,0.85376,0.94773,0.95855,0.96812,0.7239,1.01871,0.58834,0.88986,0.000594031,0.000594031,0.000594031
107,1414.6,0.87318,0.52897,0.85682,0.92431,0.96547,0.97126,0.73417,1.01213,0.57354,0.88253,0.000591032,0.000591032,0.000591032
108,1426.07,0.85982,0.51806,0.85178,0.93154,0.97266,0.98152,0.74415,0.97768,0.55095,0.87132,0.000588032,0.000588032,0.000588032
109,1438.47,0.87314,0.52752,0.86133,0.92568,0.96118,0.97424,0.75845,0.9245,0.57663,0.86286,0.000585032,0.000585032,0.000585032
110,1452.65,0.85021,0.51275,0.85068,0.93081,0.9381,0.97522,0.71135,1.00955,0.57026,0.87788,0.000582033,0.000582033,0.000582033
111,1464.9,0.89279,0.53624,0.86504,0.92715,0.94561,0.97589,0.73742,0.96882,0.55479,0.86526,0.000579033,0.000579033,0.000579033
112,1476.38,0.9058,0.53194,0.8668,0.92698,0.96367,0.97542,0.74802,0.99031,0.57409,0.87121,0.000576033,0.000576033,0.000576033
113,1490.01,0.87168,0.51389,0.85275,0.94748,0.94942,0.98193,0.70617,1.07897,0.58431,0.89898,0.000573034,0.000573034,0.000573034
114,1503.7,0.87921,0.51502,0.85202,0.95652,0.9548,0.98465,0.70583,1.06186,0.56686,0.88753,0.000570034,0.000570034,0.000570034
115,1513.89,0.8341,0.50409,0.84644,0.95063,0.95207,0.98361,0.71743,0.98593,0.54765,0.8735,0.000567034,0.000567034,0.000567034
116,1527.14,0.86045,0.50583,0.8563,0.92806,0.963,0.97913,0.74342,0.97365,0.55076,0.87136,0.000564034,0.000564034,0.000564034
117,1541.09,0.85185,0.50723,0.84878,0.96177,0.94361,0.98413,0.74555,0.98637,0.5436,0.86647,0.000561035,0.000561035,0.000561035
118,1552.09,0.8355,0.50279,0.85191,0.96413,0.96425,0.9873,0.73081,1.0337,0.53262,0.88367,0.000558035,0.000558035,0.000558035
119,1565.2,0.84135,0.51072,0.85584,0.95683,0.95933,0.98477,0.73694,0.99803,0.55099,0.87794,0.000555035,0.000555035,0.000555035
